seq_global,Order_ID,priority_score,risk_level,y_pred,Vehicle,Traffic,Order_Period,Area,Category,Drop_Latitude,Drop_Longitude
18,rjts499082897,2.17,high,158.1288649212699,motorcycle ,Medium ,Evening,Urban ,Kitchen,26.982312,75.896896
19,wwwy738679085,2.17,high,160.72725880073355,motorcycle ,Medium ,Evening,Urban ,Skincare,17.613216,78.682111
20,fmpr669358644,2.17,high,145.53505524597892,scooter ,Medium ,Evening,Metropolitian ,Kitchen,12.983041,77.753237
21,yytt491088420,2.17,high,162.91028486161886,motorcycle ,Medium ,Evening,Urban ,Books,23.439407,85.405055
22,hnwp008166462,2.17,high,90.07134133677101,motorcycle ,Medium ,Evening,Urban ,Sports,23.419407,85.385055
23,vgwx267701833,2.17,high,95.76885233274852,motorcycle ,Medium ,Evening,Urban ,Toys,13.074694,80.29147
24,ygri955413840,2.17,high,192.429100970595,motorcycle ,Medium ,Evening,Metropolitian ,Pet Supplies,21.260096,72.879122
25,rilp597195322,2.17,high,107.58669529579674,scooter ,Jam ,Evening,Metropolitian ,Home,12.401072,76.744878
26,hcel219868631,2.17,high,160.56128807523035,motorcycle ,Medium ,Evening,Metropolitian ,Jewelry,22.731847,75.961991
27,vcdv650633649,2.17,high,93.90341636392849,motorcycle ,Medium ,Evening,Other,Toys,18.593811,73.959315
28,dahw022547497,2.17,high,110.11731557083873,motorcycle ,Medium ,Evening,Metropolitian ,Electronics,13.009096,77.670625
29,shbq841945381,2.17,high,201.18309253187329,motorcycle ,Medium ,Evening,Metropolitian ,Cosmetics,11.124136,77.093303
30,vcpo904984519,2.17,high,105.47268235897508,scooter ,Medium ,Evening,Metropolitian ,Jewelry,21.296884,72.903616
31,khzp600183237,2.17,high,126.92110398490868,motorcycle ,Jam ,Evening,Metropolitian ,Sports,18.673626,74.035101
32,oryd117439361,2.17,high,141.62205888278157,motorcycle ,Medium ,Evening,Metropolitian ,Clothing,17.508294,78.484423
33,ergo980996454,2.17,high,162.23649991028992,van,Medium ,Evening,Metropolitian ,Cosmetics,17.511668,78.488321
34,zcvc625680503,2.17,high,114.91695454921089,motorcycle ,Medium ,Evening,Urban ,Books,18.766215,73.881081
35,yxzu551103327,2.17,high,184.85887242051032,motorcycle ,Medium ,Evening,Metropolitian ,Electronics,13.117018,80.344791
36,olqi997368359,2.17,high,85.17130186079409,van,Medium ,Evening,Urban ,Pet Supplies,0.05,0.05
37,yqzw694645071,2.17,high,157.97972008340415,scooter ,Medium ,Evening,Metropolitian ,Outdoors,22.82806,75.9734
38,osst292491117,2.17,high,199.922307812484,motorcycle ,Jam ,Evening,Urban ,Electronics,11.152298,77.128349
39,zzar762960665,2.17,high,126.9681406714432,motorcycle ,Medium ,Evening,Urban ,Toys,23.431489,85.404253
40,fhal529239008,2.17,high,89.85136405213545,motorcycle ,Medium ,Evening,Other,Outdoors,23.411058,85.385731
41,qrea024089081,2.17,high,141.63936830300315,motorcycle ,Jam ,Evening,Metropolitian ,Outdoors,21.295047,72.91859
42,bsnd861166242,2.17,high,183.24592949648567,motorcycle ,Medium ,Evening,Metropolitian ,Pet Supplies,13.042793,80.319982
43,vyfg399924829,2.17,high,195.43783783458292,motorcycle ,Medium ,Evening,Metropolitian ,Sports,26.916156,75.8723
44,wcul761879854,2.17,high,103.0917296130621,scooter ,Medium ,Evening,Metropolitian ,Pet Supplies,13.164347,80.367221
45,kfaj454216050,2.17,high,164.0814488801971,motorcycle ,Medium ,Evening,Metropolitian ,Jewelry,13.080324,77.755748
46,jyqj415229531,2.17,high,167.7605690693861,motorcycle ,Medium ,Evening,Metropolitian ,Pet Supplies,22.82806,75.9734
47,cspy267246888,2.17,high,103.16354216850613,motorcycle ,Medium ,Evening,Metropolitian ,Kitchen,22.855747,76.028497
48,ujcv081253217,2.17,high,180.5862964237789,scooter ,Medium ,Evening,Metropolitian ,Home,26.962312,75.876896
49,pphr471139050,2.17,high,167.66501463357665,motorcycle ,Medium ,Evening,Metropolitian ,Skincare,22.874648,76.024377
50,wlrg861095563,2.17,high,164.6662008206914,motorcycle ,Medium ,Evening,Metropolitian ,Skincare,27.096431,75.916649
51,iifu295142494,2.17,high,136.74997300369054,motorcycle ,Medium ,Evening,Metropolitian ,Toys,12.441072,76.784878
52,nzgw311396639,2.17,high,156.64938311857216,motorcycle ,Medium ,Evening,Urban ,Skincare,18.626216,73.952527
53,gbab110045112,2.17,high,180.13341610888384,motorcycle ,Medium ,Evening,Metropolitian ,Home,22.858163,76.014212
54,kxjz498186993,2.17,high,194.7317557501756,motorcycle ,Medium ,Evening,Urban ,Outdoors,17.516228,78.497495
55,iltt298869093,2.17,high,184.11530198695667,scooter ,Medium ,Evening,Metropolitian ,Pet Supplies,0.08,0.08
56,hlbz152445957,2.17,high,129.7937294185198,motorcycle ,Medium ,Evening,Urban ,Skincare,22.797021,75.954167
57,uahp796340939,2.17,high,135.75873436665591,motorcycle ,Medium ,Evening,Metropolitian ,Shoes,17.516228,78.497495
58,exqp821768693,2.17,high,196.22299021182025,motorcycle ,Medium ,Evening,Metropolitian ,Electronics,13.062532,77.698179
59,obgo711996596,2.17,high,135.70473970371748,motorcycle ,Medium ,Evening,Metropolitian ,Kitchen,11.115083,77.105393
60,qsyx462333058,2.17,high,164.1666225591038,motorcycle ,Medium ,Evening,Urban ,Shoes,22.815049,75.962471
61,fzrg907765894,2.17,high,172.6828395598611,motorcycle ,Medium ,Evening,Metropolitian ,Apparel,23.469033,85.435347
62,epkl703507126,2.17,high,166.3062185010821,motorcycle ,Medium ,Evening,Urban ,Clothing,17.481028,78.399645
63,paiz452438613,2.17,high,193.5091006951615,motorcycle ,Medium ,Evening,Metropolitian ,Jewelry,23.444878,85.405739
64,jcaa512304702,2.17,high,143.920999156006,van,Medium ,Evening,Metropolitian ,Home,19.30384,72.921347
65,gwdb443773375,2.17,high,138.2295707019555,motorcycle ,Jam ,Evening,Metropolitian ,Sports,18.590016,73.900547
66,lxwg728542661,2.17,high,165.25583851429954,motorcycle ,Medium ,Evening,Metropolitian ,Cosmetics,0.09,0.09
67,kppe643483504,2.17,high,156.9234359695516,scooter ,Medium ,Evening,Metropolitian ,Cosmetics,11.083669,77.056494
68,tkgt642603506,2.17,high,170.47413409024722,motorcycle ,Medium ,Evening,Urban ,Shoes,11.078638,77.054311
69,xglt374329740,2.17,high,218.23955212544791,motorcycle ,Jam ,Evening,Metropolitian ,Toys,17.481976,78.415883
70,qvpb069031019,2.17,high,107.51452607052806,motorcycle ,Medium ,Evening,Urban ,Skincare,13.056279,80.204568
71,zcno747914023,2.17,high,93.07458542995312,motorcycle ,Medium ,Evening,Urban ,Kitchen,21.216608,72.824136
72,flau551731296,2.17,high,100.09617711228286,van,Jam ,Evening,Metropolitian ,Jewelry,26.909596,75.860512
73,irmv338643977,2.17,high,101.63695018582035,motorcycle ,Jam ,Evening,Urban ,Snacks,19.153249,72.896749
74,yxwk096896762,2.17,high,130.74985922080808,motorcycle ,Medium ,Evening,Metropolitian ,Pet Supplies,11.095083,77.085393
75,trlr042499100,2.17,high,164.7161275013741,motorcycle ,Medium ,Evening,Metropolitian ,Outdoors,22.840072,75.972574
76,ygro799934080,2.17,high,164.6914966629237,motorcycle ,Medium ,Evening,Metropolitian ,Cosmetics,18.64245,73.996619
77,iirw353043167,2.17,high,197.56341585970807,motorcycle ,Medium ,Evening,Metropolitian ,Toys,19.301315,72.942381
78,vgwp344063856,2.17,high,176.6346079665302,scooter ,Medium ,Evening,Urban ,Cosmetics,22.391603,73.245012
79,tuwp734381681,2.17,high,170.03763421241888,motorcycle ,Medium ,Evening,Metropolitian ,Sports,13.135801,80.380744
80,umzs337595495,2.17,high,113.91881064527226,motorcycle ,Jam ,Evening,Metropolitian ,Sports,13.095479,80.28311
81,ejla947023543,2.17,high,198.67765974879995,motorcycle ,Medium ,Evening,Metropolitian ,Toys,26.993987,75.832891
82,acqz642900591,2.17,high,164.81950902505218,motorcycle ,Jam ,Evening,Metropolitian ,Toys,11.052169,77.029594
83,tdid112856752,2.17,high,173.93221943240292,motorcycle ,Medium ,Evening,Metropolitian ,Apparel,18.656258,74.014337
84,fejq027807502,2.17,high,201.9725403041649,motorcycle ,Medium ,Evening,Metropolitian ,Outdoors,13.111615,80.361598
85,keav829421389,2.17,high,156.9519439681105,motorcycle ,Medium ,Evening,Metropolitian ,Toys,23.403017,85.3872
86,gwep386114940,2.17,high,174.07892295693523,motorcycle ,Medium ,Evening,Metropolitian ,Toys,0.09,0.09
87,bdaq260255838,2.17,high,111.78664818879754,motorcycle ,Medium ,Evening,Metropolitian ,Pet Supplies,11.060762,77.041876
88,bjqj695486317,2.17,high,100.75919231901634,van,Medium ,Evening,Urban ,Jewelry,0.06,0.06
89,njxm341044921,2.17,high,135.0590499727946,motorcycle ,Medium ,Evening,Urban ,Home,22.883838,76.027429
90,rzxf271868954,2.17,high,113.66743272821049,motorcycle ,Medium ,Evening,Metropolitian ,Kitchen,18.596719,73.890327
91,ynkf849898936,2.17,high,105.48557439062816,motorcycle ,Medium ,Evening,Metropolitian ,Home,26.91842,75.830689
92,izsh716323185,2.17,high,164.38911367769967,motorcycle ,Medium ,Evening,Metropolitian ,Sports,22.823839,75.967429
93,jsqg494964729,2.17,high,203.07945591674212,motorcycle ,Medium ,Evening,Metropolitian ,Home,13.191878,80.358519
94,fbzq655936961,2.17,high,165.8290004214313,motorcycle ,Medium ,Evening,Urban ,Cosmetics,13.082532,77.718179
95,spjs128237487,2.17,high,159.06469551858515,motorcycle ,Medium ,Evening,Metropolitian ,Snacks,18.664382,73.908206
96,foql039936795,2.17,high,104.14316492555984,motorcycle ,Medium ,Evening,Metropolitian ,Cosmetics,22.79806,75.9434
97,lwlq054721819,2.17,high,120.14229657446064,motorcycle ,Medium ,Evening,Metropolitian ,Cosmetics,13.000221,77.675396
98,mqpe671778421,2.17,high,110.93326507518027,motorcycle ,Medium ,Evening,Urban ,Kitchen,22.762225,75.904765
99,zxza184945602,2.17,high,113.17897570849824,motorcycle ,Jam ,Evening,Metropolitian ,Toys,18.576258,73.934337
100,xohf241799153,2.17,high,155.65830709648412,motorcycle ,Jam ,Evening,Metropolitian ,Kitchen,19.053517,72.87765
101,avgu097756763,2.17,high,128.1114025926277,motorcycle ,Medium ,Evening,Metropolitian ,Jewelry,17.530827,78.483391
102,curw007289599,2.17,high,197.6214931929272,motorcycle ,Medium ,Evening,Semi-Urban ,Jewelry,21.243493,72.871953
103,oahk746445999,2.17,high,88.76532905377236,motorcycle ,Medium ,Evening,Urban ,Skincare,13.044264,77.8084
104,slbu038547938,2.17,high,162.31040661694934,motorcycle ,Medium ,Evening,Metropolitian ,Cosmetics,27.045287,75.934592
105,ylxm976262778,2.17,high,109.81785729809005,scooter ,Medium ,Evening,Metropolitian ,Home,18.646216,73.972527
106,lcro470747870,2.17,high,161.8645742634729,scooter ,Medium ,Evening,Metropolitian ,Clothing,22.851226,75.977522
107,sjry483177041,2.17,high,154.2603025480372,motorcycle ,Jam ,Evening,Metropolitian ,Shoes,22.370526,73.230937
108,jfxi664714278,2.17,high,138.42220546718426,motorcycle ,Jam ,Evening,Metropolitian ,Cosmetics,22.370329,73.229083
109,zjeq913439507,2.17,high,164.1867254340866,motorcycle ,Jam ,Evening,Metropolitian ,Cosmetics,22.340329,73.199083
110,denx734823965,2.17,high,135.87662269821917,motorcycle ,Medium ,Evening,Metropolitian ,Clothing,13.082532,77.718179
111,xadw729250896,2.17,high,116.81983046614236,motorcycle ,Medium ,Evening,Metropolitian ,Skincare,26.962328,75.854257
112,fgoa254693903,2.17,high,105.12178802557978,motorcycle ,Medium ,Evening,Other,Kitchen,0.06,0.06
113,rgqy233634400,2.17,high,131.32487858429536,motorcycle ,Medium ,Evening,Metropolitian ,Clothing,26.993483,75.883139
114,amic054506458,2.17,high,175.56610811168508,motorcycle ,Medium ,Evening,Metropolitian ,Shoes,21.287729,72.898726
115,akdc879361153,2.17,high,186.69114477854137,motorcycle ,Jam ,Evening,Metropolitian ,Jewelry,22.790072,75.922574
116,jzhg651996027,2.17,high,111.78119348217191,scooter ,Medium ,Evening,Metropolitian ,Books,27.000262,75.873013
117,cqxl682199845,2.17,high,113.22435053866413,motorcycle ,Medium ,Evening,Metropolitian ,Shoes,17.498263,78.457865
118,dzwi532874822,2.17,high,113.3811123402076,motorcycle ,Jam ,Evening,Metropolitian ,Cosmetics,0.06,0.06
119,pjnt725096544,2.17,high,156.3922555095808,motorcycle ,Medium ,Evening,Metropolitian ,Kitchen,21.205975,72.825503
120,vdra460047263,2.17,high,101.93093625019402,scooter ,Jam ,Evening,Metropolitian ,Sports,26.95294,75.843007
121,dbve468302250,2.17,high,102.24983135965486,van,Medium ,Evening,Metropolitian ,Sports,23.424878,85.385739
122,wlnh551981573,2.17,high,174.53270098598264,scooter ,Medium ,Evening,Metropolitian ,Shoes,17.513809,78.466744
123,wcsq907888729,2.17,high,159.54160318491375,scooter ,Medium ,Evening,Metropolitian ,Shoes,21.240798,72.860489
124,llik677736621,2.17,high,173.51467461491933,motorcycle ,Medium ,Evening,Metropolitian ,Snacks,18.666719,73.960327
125,mwyh397553747,2.17,high,120.12738617657163,motorcycle ,Medium ,Evening,Urban ,Shoes,13.156286,80.405235
126,xdus014073429,2.17,high,117.84714178006168,motorcycle ,Jam ,Evening,Metropolitian ,Books,11.052298,77.028349
127,zonq343172079,2.17,high,196.63433141234387,motorcycle ,Medium ,Evening,Metropolitian ,Jewelry,18.699156,73.904723
128,kbcm159213469,2.17,high,161.98722206846966,motorcycle ,Medium ,Evening,Urban ,Pet Supplies,18.643935,73.995367
129,ihas367566779,2.17,high,87.08955960857705,motorcycle ,Medium ,Evening,Urban ,Apparel,13.076286,80.325235
130,jxly226334716,2.17,high,123.82097397587498,scooter ,Jam ,Evening,Metropolitian ,Shoes,23.409407,85.375055
131,hzvn205168642,2.17,high,94.04388939567484,scooter ,Jam ,Evening,Urban ,Home,19.2313,72.886191
132,wjcs966424154,2.17,high,99.07195407897964,motorcycle ,Medium ,Evening,Metropolitian ,Electronics,17.491028,78.409645
133,szbu377757013,2.17,high,133.16154546130755,motorcycle ,Medium ,Evening,Metropolitian ,Skincare,0.08,0.08
134,paxs856881813,2.17,high,225.80615195411127,motorcycle ,Jam ,Evening,Metropolitian ,Jewelry,19.20663,72.909976
135,kiau755614399,2.17,high,188.67540752009032,motorcycle ,Jam ,Evening,Metropolitian ,Clothing,23.421292,85.377872
136,suyc679968506,2.17,high,118.88570897216924,motorcycle ,Medium ,Evening,Metropolitian ,Books,26.796536,75.867333
137,qtxk308011855,2.17,high,202.74543950012497,motorcycle ,Jam ,Evening,Metropolitian ,Clothing,13.116279,80.264568
138,aory579075074,2.17,high,123.84979617402205,motorcycle ,Medium ,Evening,Metropolitian ,Shoes,21.200437,72.814209
139,zugd537242177,2.17,high,161.31606531956214,motorcycle ,Medium ,Evening,Metropolitian ,Clothing,0.07,0.07
140,jpiy193544870,2.17,high,183.3575903612592,scooter ,Jam ,Evening,Urban ,Pet Supplies,13.179645,80.372268
141,wokg954821209,2.17,high,162.5066050947283,motorcycle ,Medium ,Evening,Urban ,Outdoors,0.07,0.07
142,klam748919259,2.17,high,128.47080455908255,motorcycle ,Medium ,Evening,Metropolitian ,Pet Supplies,23.441058,85.415731
143,aahf239075270,2.17,high,190.5134564202731,motorcycle ,Medium ,Evening,Metropolitian ,Cosmetics,21.250096,72.869122
144,ifnq037987469,2.17,high,190.69054823694404,motorcycle ,Medium ,Evening,Metropolitian ,Pet Supplies,13.064365,77.746155
145,zjwh619081908,2.17,high,128.08876058918136,motorcycle ,Medium ,Evening,Metropolitian ,Home,21.255047,72.87859
146,mput935759240,2.17,high,129.16486244778534,motorcycle ,Medium ,Evening,Metropolitian ,Toys,19.064237,72.895553
147,wgfo970771288,2.17,high,81.62121483200896,motorcycle ,Medium ,Evening,Metropolitian ,Clothing,13.019166,77.680709
148,agdj703229523,2.17,high,206.4644163520327,scooter ,Jam ,Evening,Metropolitian ,Shoes,19.210083,72.997385
149,ghqy766526140,2.17,high,199.8685618624404,motorcycle ,Medium ,Evening,Metropolitian ,Shoes,26.929596,75.880512
150,dqjm521535949,2.17,high,143.49271053067218,van,Jam ,Evening,Metropolitian ,Kitchen,0.03,0.03
151,oezd315434444,2.17,high,110.48334605717784,van,Medium ,Evening,Urban ,Kitchen,0.09,0.09
152,uhue430099891,2.17,high,98.06918209403344,scooter ,Jam ,Evening,Other,Electronics,17.515894,78.435467
153,eaci123978750,2.17,high,105.90128021378378,van,Medium ,Evening,Urban ,Toys,12.417978,76.696792
154,znln817847818,2.17,high,109.45560453299872,scooter ,Medium ,Evening,Urban ,Apparel,22.855049,76.002471
155,tcwu868964114,2.17,high,167.0488862308558,motorcycle ,Medium ,Evening,Metropolitian ,Jewelry,22.400526,73.260937
156,pvjt126770101,2.17,high,130.00473770680054,motorcycle ,Jam ,Evening,Metropolitian ,Outdoors,0.09,0.09
157,iozp940411956,2.17,high,178.76576680150163,motorcycle ,Jam ,Evening,Urban ,Pet Supplies,17.519585,78.482621
158,hqgo065434189,2.17,high,127.04317162855747,motorcycle ,Medium ,Evening,Metropolitian ,Pet Supplies,21.237735,72.848778
159,xyyo738416527,2.17,high,95.68917777832864,motorcycle ,Medium ,Evening,Metropolitian ,Shoes,22.834648,75.984377
160,tpcw997469379,2.17,high,192.26118293445435,motorcycle ,Medium ,Evening,Metropolitian ,Sports,26.836536,75.907333
161,gjpj453808306,2.17,high,224.7898480032724,motorcycle ,Jam ,Evening,Metropolitian ,Kitchen,18.663811,74.029315
162,nixn123664811,2.17,high,102.85251368010016,motorcycle ,Medium ,Evening,Other,Clothing,26.965287,75.854592
163,jjjq336493007,2.17,high,228.5928054051217,motorcycle ,Jam ,Evening,Metropolitian ,Apparel,12.424022,76.708203
164,tnow372656153,2.17,high,108.19269128044984,scooter ,Medium ,Evening,Metropolitian ,Pet Supplies,11.155083,77.145393
165,vczf695122557,2.17,high,172.78144983323247,motorcycle ,Medium ,Evening,Metropolitian ,Pet Supplies,19.135831,72.913984
166,ihqo611279975,2.17,high,115.2776779459585,motorcycle ,Medium ,Evening,Metropolitian ,Jewelry,0.04,0.04
167,udrj225489126,2.17,high,173.35898956888175,scooter ,Medium ,Evening,Metropolitian ,Shoes,12.404022,76.688203
168,aaff291190267,2.17,high,109.1898034098102,motorcycle ,Medium ,Evening,Metropolitian ,Shoes,26.952328,75.844257
169,kqbq939301652,2.17,high,202.19454484375004,motorcycle ,Jam ,Evening,Metropolitian ,Shoes,18.610963,73.908972
170,nwvu459529234,2.17,high,227.0985286449169,motorcycle ,Jam ,Evening,Metropolitian ,Shoes,22.381358,73.234798
171,utsv027796309,2.17,high,159.4749653590426,scooter ,Medium ,Evening,Metropolitian ,Electronics,12.444022,76.728203
172,vwhp587795086,2.17,high,104.01045142165636,motorcycle ,Jam ,Evening,Metropolitian ,Clothing,22.823659,75.973365
173,irvi026384948,2.17,high,126.37065001404468,motorcycle ,Medium ,Evening,Metropolitian ,Electronics,12.464022,76.748203
174,mmmz982207774,2.17,high,179.56320137031167,scooter ,Jam ,Evening,Metropolitian ,Home,18.699156,73.904723
175,qdrq519742550,2.17,high,132.68367562280645,motorcycle ,Jam ,Evening,Metropolitian ,Skincare,13.014365,77.696155
176,wcsz768106006,2.17,high,119.17023880900354,van,Jam ,Evening,Metropolitian ,Electronics,18.626562,73.986485
177,gbvc892665917,2.17,high,197.2289995582481,motorcycle ,Medium ,Evening,Urban ,Clothing,0.13,0.13
178,walt616620745,2.17,high,93.51061982247644,motorcycle ,Medium ,Evening,Metropolitian ,Outdoors,12.447928,76.727889
179,vjha661017162,2.17,high,206.6257000736305,motorcycle ,Medium ,Evening,Metropolitian ,Electronics,19.057584,72.962585
180,gnky574209256,2.17,high,128.8295118093998,motorcycle ,Medium ,Evening,Metropolitian ,Electronics,21.240798,72.860489
181,aeim998413135,2.17,high,145.33813912017237,scooter ,Medium ,Evening,Metropolitian ,Shoes,11.080375,77.02295
182,necv303251571,2.17,high,161.8244700000939,motorcycle ,Medium ,Evening,Metropolitian ,Snacks,11.102477,77.075667
183,yjqh879530804,2.17,high,188.69799830024925,motorcycle ,Jam ,Evening,Metropolitian ,Electronics,13.023041,77.793237
184,djxg600030399,2.17,high,122.7050231647612,motorcycle ,Medium ,Evening,Metropolitian ,Jewelry,18.977584,72.882585
185,mehs091396068,2.17,high,95.26930490593544,motorcycle ,Medium ,Evening,Urban ,Outdoors,12.983284,77.665428
186,wnua569339256,2.17,high,118.7202097963186,motorcycle ,Jam ,Evening,Urban ,Jewelry,11.091278,77.065017
187,mhdr859671263,2.17,high,121.39071120450522,motorcycle ,Medium ,Evening,Metropolitian ,Skincare,12.371214,76.671094
188,qyeq946911915,2.17,high,165.83078660974914,motorcycle ,Medium ,Evening,Metropolitian ,Outdoors,27.001411,75.873604
189,aovh846299386,2.17,high,180.08746206486325,motorcycle ,Jam ,Evening,Metropolitian ,Electronics,11.071753,77.056241
190,jtfh209058159,2.17,high,166.62691754734257,motorcycle ,Medium ,Evening,Metropolitian ,Skincare,13.181809,80.309104
191,fktq777194769,2.17,high,119.50355399099998,motorcycle ,Medium ,Evening,Metropolitian ,Jewelry,18.569299,73.927902
192,mios587573066,2.17,high,111.30608863159136,motorcycle ,Medium ,Evening,Metropolitian ,Cosmetics,17.491477,78.46035
193,umki086507305,2.17,high,170.5752956075788,motorcycle ,Medium ,Evening,Metropolitian ,Shoes,13.082793,80.359982
194,lwss759586279,2.17,high,160.27014703985034,motorcycle ,Medium ,Evening,Metropolitian ,Home,18.656258,74.014337
195,dhqp466518699,2.17,high,114.6163032988761,motorcycle ,Medium ,Evening,Metropolitian ,Kitchen,22.755835,75.917648
196,tcbj763125637,2.17,high,195.8019035005753,motorcycle ,Jam ,Evening,Metropolitian ,Books,22.440237,73.288921
197,wpej943234765,2.17,high,108.5423383606952,motorcycle ,Medium ,Evening,Metropolitian ,Electronics,22.774648,75.924377
198,dqdo441155586,2.17,high,198.20670013463845,motorcycle ,Jam ,Evening,Metropolitian ,Snacks,18.626258,73.984337
199,dglt889922530,2.17,high,156.06404627145,motorcycle ,Medium ,Evening,Urban ,Snacks,27.053483,75.943139
200,iijh585435067,2.17,high,130.14377205426308,motorcycle ,Jam ,Evening,Metropolitian ,Skincare,19.251315,72.892381
201,nknm322668331,2.17,high,156.66242712660195,scooter ,Medium ,Evening,Metropolitian ,Home,13.063298,77.744293
202,htyg356491125,2.17,high,103.99422455659167,motorcycle ,Medium ,Evening,Metropolitian ,Cosmetics,23.43925,85.430464
203,jndo287242943,2.17,high,114.31898210334546,motorcycle ,Jam ,Evening,Urban ,Shoes,18.616258,73.974337
204,bkzq180532352,2.17,high,195.9227885039089,motorcycle ,Jam ,Evening,Metropolitian ,Home,17.563809,78.516744
205,nzvg022864985,2.17,high,111.57567309611332,motorcycle ,Medium ,Evening,Metropolitian ,Clothing,0.05,0.05
206,pyzr231844484,2.17,high,95.2936029894918,motorcycle ,Medium ,Evening,Metropolitian ,Outdoors,13.124694,80.34147
207,weyl553099754,2.17,high,104.24481735195968,motorcycle ,Medium ,Evening,Metropolitian ,Clothing,13.005377,77.726664
208,mgqp194972100,2.17,high,174.6807815685161,scooter ,Medium ,Evening,Metropolitian ,Pet Supplies,18.643811,74.009315
209,eqww050758344,2.17,high,86.48017171960586,motorcycle ,Medium ,Evening,Urban ,Shoes,19.304567,72.898923
210,czzf932935668,2.17,high,187.03983109146583,scooter ,Jam ,Evening,Metropolitian ,Outdoors,21.273434,72.904492
211,byhu712460958,2.17,high,109.0488258613296,scooter ,Medium ,Evening,Metropolitian ,Apparel,27.051927,75.937282
212,escf352401081,2.17,high,86.49893631637568,motorcycle ,Medium ,Evening,Metropolitian ,Kitchen,21.179669,72.802629
213,izgg072744793,2.17,high,163.94202911525394,motorcycle ,Medium ,Evening,Urban ,Toys,0.07,0.07
214,utea566204060,2.17,high,224.8957728944577,motorcycle ,Jam ,Evening,Metropolitian ,Electronics,11.113669,77.086494
215,wqry857146243,2.17,high,130.21466653752643,motorcycle ,Medium ,Evening,Urban ,Outdoors,13.013298,77.694293
216,flvq814351147,2.17,high,159.4231775361515,motorcycle ,Medium ,Evening,Urban ,Kitchen,27.053483,75.943139
217,sdbj781563265,2.17,high,108.25014544746882,scooter ,Medium ,Evening,Metropolitian ,Skincare,12.394022,76.678203
218,laot784840904,2.17,high,190.03773644643064,motorcycle ,Jam ,Evening,Metropolitian ,Home,11.098638,77.074311
219,xzwc474187698,2.17,high,124.40457940213892,motorcycle ,Medium ,Evening,Metropolitian ,Snacks,12.467978,76.746792
220,vxlb962910430,2.17,high,100.37559770434608,motorcycle ,Medium ,Evening,Metropolitian ,Shoes,21.315047,72.93859
221,qbjz588629446,2.17,high,114.4586522115681,motorcycle ,Medium ,Evening,Urban ,Skincare,13.114181,80.286442
222,ufjv776601197,2.17,high,199.4154931357729,motorcycle ,Medium ,Evening,Metropolitian ,Books,11.130762,77.111876
223,wlfo808236337,2.17,high,87.62294178341975,motorcycle ,Medium ,Evening,Urban ,Cosmetics,13.085996,80.331898
224,imri932331797,2.17,high,131.88939780069265,motorcycle ,Medium ,Evening,Metropolitian ,Pet Supplies,21.259569,72.882697
225,wumm097085009,2.17,high,141.2660546294418,scooter ,Medium ,Evening,Urban ,Outdoors,18.630016,73.940547
226,euaj562666211,2.17,high,189.50866871972468,motorcycle ,Medium ,Evening,Metropolitian ,Skincare,17.499585,78.462621
